Internet,Radio,TV,Sales
10356,5925,7209,295151
11139,15048,10792,315011
5074,12765,4381,286050
17393,7698,19959,366957
13175,14738,1971,307281
8532,12932,6712,299670
19152,3105,13303,330466
13422,9431,14659,329956
10160,18770,17408,341988
7680,18442,16898,335528
18114,15645,8993,314864
1220,8215,5474,238366
11140,11461,12694,318873
14743,3070,11331,314869
3004,11549,2804,269772
16452,16342,12773,325172
18267,3863,17064,350592
8077,12761,4742,296355
10329,15570,13051,321684
15972,12454,19626,360452
14001,18975,4803,312294
2543,19969,8402,287432
10740,11903,9366,307803
7823,2430,9088,288673
9935,13971,1254,302739
5163,9147,17138,322292
1864,9807,7360,257153
3515,16173,16708,316617
9881,16956,17531,341836
7066,13942,1987,295915
5440,19320,10673,307688
15472,5569,5830,301075
9502,4498,16745,332574
6626,11125,19279,342884
4878,2274,4774,263990
15097,19674,8905,316357
15608,13174,16225,339931
8987,9096,15083,324029
16664,17225,12320,323766
5336,4315,1754,267997
5402,8858,3646,279083
3606,9061,6167,271674
14385,5295,17054,344654
3525,6385,16212,304177
17288,13941,5502,308868
13035,6276,16716,340333
4069,13330,15313,310415
16530,18245,1047,314302
9046,10461,13540,317754
7083,3792,12374,300614
14963,9426,14258,329822
9625,12801,15252,328276
4271,1354,10252,273934
10789,10097,15239,329074
9788,6215,11007,305649
13599,5539,19973,363368
14406,9368,15329,334535
18007,3100,14891,337435
13713,17534,11392,320351
4830,7222,15115,307462
17724,18148,6836,312728
7060,3316,19297,341578
6771,10911,14533,316371
3523,15393,11011,293097
14814,17317,18537,351050
16678,1607,17681,353508
10678,17830,11740,319392
11309,17797,6226,309967
12847,8752,1956,297921
11447,1293,19677,357686
15563,6462,19187,360168
15655,11861,16844,343566
6428,1905,9504,283827
11959,13425,6288,305393
1456,12897,2854,253294
12619,8188,1504,296771
4533,10609,15943,313544
18588,8705,2425,303937
4826,12189,17007,322285
6052,14100,1286,293558
7809,13127,3717,295935
10204,17861,3611,308461
13411,4312,4167,293974
5463,8106,15375,312907
8396,2926,14532,315400
8504,16152,15941,331274
13539,4831,8912,304961
12321,3764,5387,293032
7661,19223,11513,315667
9748,3428,7898,292285
2246,4433,14191,277826
3864,5631,11387,282051
18661,18120,3427,311741
4580,17399,4561,293366
2997,8418,6491,265884
11926,5080,17496,343139
3255,7040,19065,320769
9779,15362,14847,328011
1891,15018,6180,266947
10727,1037,6268,287651
10448,12281,6526,302169
12288,3380,15922,333828
8955,13434,18579,345377
4046,10248,18967,328304
1218,6073,19997,298490
4691,17693,4448,294498
12152,8513,13614,322860
16011,10780,11091,318187
4430,17635,2543,293816
13962,6902,9975,310437
18806,10102,13204,328126
18876,19612,4399,312458
7450,10398,6985,293451
1671,16529,10562,274343
5660,7654,15263,312804
14410,19603,15918,337333
17472,13817,4349,308164
17328,11988,4793,306872
2858,7054,3292,257757
8366,6653,13911,314829
5425,4616,17767,324269
2690,7207,19018,315261
13995,4264,1213,293025
11933,6848,3878,294366
5499,1348,18696,329090
6703,4248,4602,276516
16081,12112,9792,314767
11876,16853,8309,311847
3897,16177,16408,317596
13387,5531,1485,293899
16694,8223,13003,325778
14913,18565,10106,318003
15764,10275,7040,307300
11055,13542,14200,326102
19089,8431,6705,308273
5104,6394,15778,311782
13187,14482,3256,306393
7185,2631,11184,294499
18876,12634,6992,310397
2573,6804,11403,272523
16996,13140,11746,321498
6983,7970,6546,287264
10451,10306,19915,356607
19384,16887,5068,310701
19571,19255,11575,321073
17206,15788,14013,329968
15747,10339,4883,304418
6785,17387,17001,333315
9138,18773,16938,338381
16939,2193,3002,296159
6261,17050,8915,303463
6187,14221,5887,294360
17678,19541,9821,317609
16484,6422,12130,321651
18497,16735,11907,322470
19232,5537,3027,302078
8858,3231,17794,337109
3445,15666,19083,328908
16362,19491,15014,333513
19762,14600,17660,348314
12496,8997,8336,305171
19796,15828,5328,310222
1257,14571,6610,255112
3926,8178,3127,269012
13355,12693,16463,339456
19212,14816,2927,309289
7976,7969,2845,286458
7086,11483,4576,291251
2830,16430,2959,280000
12394,1180,8897,299638
8503,10625,4723,293758
17732,9419,4889,305254
12418,5042,13375,320736
19957,10986,16502,344437
11668,1461,16545,335976
17718,16606,16579,341337
13441,11686,8835,309849
5234,4693,15548,309592
11542,12126,14706,328445
13721,14059,1059,307452
16462,19395,6455,313365
9469,15267,2868,303314
10936,3023,18795,349756
12690,17043,12822,324016
13797,17688,16783,341304
2872,3576,4027,250417
10278,1947,2528,281788
1822,7868,15700,284376
14443,17871,2819,311722
12540,6461,19968,361254
6601,2780,7041,278341
8203,9323,9020,298581
11933,6288,5930,296306
5066,12486,4831,285707
13066,13936,17059,342390
3790,8895,14516,299778
19699,6078,17911,356215
3825,11634,10392,287470
8950,10438,11969,311142
3059,9858,18756,319231
19170,4726,13804,332567
14822,16336,16028,338136
13452,19046,15357,334672
14614,11878,7985,309265
14554,6042,4125,297841
13803,1749,7276,298157
1883,6341,12221,266198
10500,19793,1257,314228
16742,4917,7692,306370
15755,19642,13794,328918
10361,18794,1001,312632
4844,16205,7002,293819
10219,19821,6399,311704
17864,15824,3072,309976
17616,17033,8021,313625
11039,5695,16064,332565
14036,14051,13174,325142
11691,16702,4809,308200
7681,1714,12077,299351
15147,10531,14402,330755
9233,11948,7517,301078
2282,9289,18648,309988
4467,19301,11956,306958
11221,6591,6841,297024
2571,18736,16358,309850
1698,6977,5393,244946
19158,17617,15311,334856
11020,2070,7900,294029
11033,6505,10151,305632
13290,6466,8278,304030
15910,8239,17195,346846
12313,11711,12415,319582
5106,6583,17810,324277
18096,15879,9070,315086
17885,19297,7235,313667
3748,3029,14686,293538
19603,6274,8885,313270
11308,11160,13304,321440
18524,12751,14488,332974
14498,8620,4256,300799
15150,4031,17751,350652
18011,17872,1100,313694
9723,11895,11907,313808
16756,8932,12739,324732
16874,5179,15561,339203
10361,8944,2182,293969
4554,15254,11428,300245
15526,6571,12819,323490
2247,9528,16918,299117
11817,12117,16008,335235
2293,6716,18182,304672
1199,3833,14062,257904
8066,8673,6251,291309
2740,6199,17846,307033
13933,19467,14478,331306
11765,1648,18493,349572
5023,11037,13702,305676
5913,2038,5348,270116
13235,17851,1714,312203
2075,13935,1430,266491
16055,16109,17572,346455
1124,7004,6157,234263
18396,17404,13137,326474
18137,8819,10057,316022
14502,18754,18000,347599
16076,2974,19486,364869
1878,2840,4813,237421
6076,12852,14580,315917
5339,6832,3851,274697
15208,7299,17957,351097
5453,6591,6424,278346
15133,18120,14187,330255
4904,13599,5872,288002
8572,12760,11983,312487
3882,8950,6609,274149
9652,12388,8855,305197
9464,19937,16630,337786
11464,1835,17278,340375
1263,1747,2779,220346
17480,11991,17653,349265
13202,17105,19926,358732
14006,13554,15677,336030
1882,9812,13431,276721
19935,15695,4858,309929
2151,18234,8240,279575
14139,5480,15322,333978
7497,14936,19589,348795
4407,6601,8352,277090
8614,5886,15750,324794
6425,9807,13384,308889
18843,19730,18818,351055
7741,11317,2491,292271
16346,6004,8801,309487
2756,3346,6252,252517
11835,19548,4386,312177
12356,1521,4525,288777
6654,11727,11679,305080
11993,8867,12206,316733
17247,8202,11383,319730
4682,4094,12230,288847
14611,1501,11253,313662
7367,5794,9120,291637
10316,4716,13935,318821
16887,17202,8063,313748
4406,3962,1674,261789
9032,3056,4173,281901
10558,9692,15604,330385
11684,9649,18899,351881
4528,7831,10127,285098
16944,14032,16506,341808
7164,5367,1089,278243
1436,6395,19133,297363
5578,2055,9305,279250
5087,17594,19778,343331
4493,12120,1632,281807
6045,15495,14266,316956
17571,13719,4870,308363
11794,5952,12104,314223
3547,8415,7071,271555
18455,4602,14945,337828
19232,7395,15565,340866
3015,17668,7530,286083
7461,1760,7303,280901
11176,11179,9080,307057
16363,8967,18882,357716
19711,9900,17875,353090
7402,15857,17315,335654
7841,12488,1123,295565
6687,15080,18424,339528
8688,10422,14329,320462
18856,7276,19030,362057
11471,18203,13439,325843
14099,15239,11607,320133
10935,14673,17848,344517
3134,14796,19521,328613
11216,19617,9353,315779
4788,7382,6367,276265
9370,8607,2351,291226
8324,8921,10874,304122
16110,16182,7019,311617
18638,13822,18831,355616
16019,19031,4860,312558
11965,11222,16959,340451
6987,3273,3764,274717
6501,8609,14426,312854
15449,5400,16373,342020
19493,13600,10390,318113
14434,7327,13712,326312
13226,1922,17472,345648
9305,18676,12012,319253
17012,16538,7529,312645
10521,15589,10688,314414
4534,15530,2346,289616
3398,5836,9016,270479
7216,7881,14418,314720
3764,14826,11255,294572
18564,3614,1153,298881
4793,16363,1956,293088
18837,5510,1940,301171
18545,5487,17645,353741
5670,14070,17172,328365
13898,17948,17777,346413
18255,6739,18951,361367
10760,10297,10251,308810
15904,3758,17344,349202
19352,11327,18141,353478
15519,1612,19663,366015
15685,12364,1276,306290
5854,5899,6644,279429
9958,11253,13786,321264
9500,12467,3348,298426
5924,14315,19363,342364
13452,7337,1410,296740
5021,16902,7836,296927
10414,19951,3553,312069
17079,1676,11176,317671
11072,1324,4513,285377
15703,16586,17180,344126
5785,15950,10409,303610
14875,10582,11593,318870
19580,12215,12765,326222
3823,14040,11165,293502
2786,8769,1382,261034
18031,18293,10433,318604
18540,18959,10517,318769
19030,8322,1855,303916
4246,14017,19955,338410
8411,15356,14653,324741
18343,16083,10473,318381
19473,15582,8670,314260
2566,17212,18410,318850
8552,15998,9825,309548
8826,14656,14935,326348
11668,10692,18761,350904
10786,17020,3503,307804
11276,8695,8546,303399
2406,11935,14272,290239
8297,3795,8818,291180
3216,2975,3523,251709
7426,13359,8677,301035
17404,6389,16853,347048
12476,2975,6956,295798
12311,19473,3274,312791
18948,15497,9744,316529
19076,5516,16230,345471
15684,19271,3857,312972
17308,17908,3864,311593
18066,6072,10374,316554
8881,18610,12350,319603
15888,2675,7758,303966
13243,9737,11601,316703
13118,3172,2935,290629
13257,16417,4827,309020
1981,11859,10305,270016
1388,7227,9893,250201
6927,11636,12529,308989
18183,17514,10766,319299
3410,10942,17161,313281
13308,18948,12956,325564
19402,17198,11663,321597
2964,9374,9767,275125
10438,9171,4991,295971
4154,16657,14022,309003
6027,8759,16745,323560
12766,18767,9752,316727
12191,4011,12845,317273
17470,9775,9846,315089
11498,2618,3056,286439
5487,11634,9340,293433
2509,11555,5004,265850
14526,11580,2273,303860
6849,4946,15644,317645
8266,1590,10878,296019
6237,12499,13809,312756
9148,11141,14123,321057
19659,2081,18649,364446
12775,19781,10808,319743
1519,7899,13043,266022
5046,13589,10943,298809
19881,11420,16084,341882
19779,9558,6851,309409
10064,2158,5785,286278
1304,8435,17445,285581
13626,12225,17493,345455
17738,14900,5624,309750
5438,13649,7669,292884
6914,7512,17124,328394
9961,16948,14180,326367
14507,19555,4674,313027
13743,4403,12015,316618
12875,13540,14946,331548
9600,17467,13408,323283
1605,1165,7812,236059
2061,2238,17136,290104
12605,18443,2188,312289
8680,19693,18442,345782
19586,2582,5183,303230
9920,11445,1478,297826
9176,15099,3959,302359
12919,18338,9682,316340
9320,6069,19139,348423
10180,17912,13949,326306
15104,17417,12113,322903
1577,8460,15333,279022
16353,3632,4626,298651
10023,14155,2136,302575
1369,9650,5163,244663
17722,9328,12140,323111
17776,4855,8858,310925
7984,5551,18401,339311
2429,3215,18362,304280
4041,14140,4192,283450
8495,19106,15342,330297
10131,18178,17140,340447
2356,8920,4786,257942
10102,18603,1599,311197
13733,19497,9837,317746
13493,18274,18137,348139
9165,17357,14069,325055
10843,4616,1581,287381
3121,13185,2200,274914
4760,12843,11593,298476
2440,16631,5331,276675
14899,19638,11502,321828
2484,18292,11625,290654
5577,10440,9806,293313
2551,7522,11089,272256
19806,17691,5957,311435
19194,17332,14162,330196
1487,5286,2753,234298
12643,12786,17302,343317
2873,6951,4560,258768
16064,7431,10069,313710
2298,14857,12921,287574
10715,13391,12686,319435
4017,18428,11330,301655
13665,14577,14548,330641
1148,1785,2402,217278
19784,6438,3061,303289
15927,11339,1199,305188
19437,5190,19145,365130
4910,8777,14842,308052
3317,15567,1366,283018
14503,2319,17907,351066
14229,7614,7626,304753
7482,10616,12846,310909
10100,19166,5957,310459
10668,13937,6882,305104
9920,8297,13828,319529
19668,3403,15818,344807
14619,10007,5415,303569
2004,1237,3801,233999
13227,9950,8644,307762
9601,4406,12329,309075
11923,7365,13857,323128
12768,13158,2987,304198
2681,17422,3585,280768
12313,11377,14815,329746
12545,2813,14677,327006
15211,19710,5564,313297
13425,18321,15870,336839
4370,13256,18993,332450
3273,9440,14865,298225
15889,6299,6335,303156
16139,7767,2992,300932
14801,2809,13696,326041
11706,12032,3522,301320
5712,11626,16402,322513
15811,7193,10172,313667
11056,3623,13346,317003
2777,3239,8121,257281
1761,10377,12414,271482
1413,10653,19120,300834
13468,17791,11192,319824
4003,3290,5375,261436
14385,16855,6872,311429
12732,4971,17614,345464
12941,12323,10217,313383
13545,18286,3424,311616
1735,16971,1140,270086
3443,7927,4879,266298
5248,4816,15600,310077
5676,19945,8994,306104
16493,5597,2585,298800
17810,2503,7757,306799
10682,12502,1231,301234
12921,5780,10025,308205
2057,13956,8124,269759
8781,16721,15248,328924
13527,2369,7872,299834
12456,15037,3212,306543
10190,2925,2956,283582
6530,10057,12982,307809
14482,9907,2734,301609
10588,9980,6431,299280
10169,19799,17796,344211
2819,6989,6947,262147
8134,4611,14167,313835
17522,3316,4194,299431
7677,3170,7173,283502
15930,4522,9679,311031
10673,16197,12988,322299
12927,10576,14782,330166
16719,13937,18151,350863
7604,3925,19397,344548
19358,7391,18593,359419
14697,6269,9003,308052
13549,1681,3952,290676
19489,15346,15907,338683
2027,4642,3852,242623
1697,1860,11223,251496
4743,18324,7664,297947
8763,10087,16619,332275
18183,1874,18048,358255
9029,1561,12156,304205
6961,12699,5050,293417
19710,17787,5628,311323
1740,5093,7584,245912
11182,16915,1108,309893
15046,14723,9897,315631
8938,12772,11794,312628
2635,7838,1942,257009
6384,4755,6883,280308
16404,8000,16948,345953
7729,10201,13622,314546
14891,2806,2331,292957
18203,9616,10168,316554
3495,7985,4017,265986
15778,4363,8633,307365
1698,8609,5518,248850
6673,10552,2789,287432
13971,15486,1128,309702
11841,17898,5322,310050
15813,15129,10347,317309
19914,10147,16918,347316
2674,1358,9974,259022
18170,9305,3080,304294
13736,15156,9022,313118
14654,17378,18034,348177
16228,5809,1606,298447
16281,2321,11695,318786
4604,18547,2981,296420
2466,8818,12347,278222
7047,5211,7859,286058
8268,9182,4469,290479
9323,5155,5054,287399
5957,13858,10562,301792
4039,10570,3259,275262
8420,3360,11552,301240
11047,17241,5656,308650
8142,9913,18999,345200
19247,4817,6902,307365
16875,16161,19642,358667
8139,18311,17573,339776
10112,5702,9486,300602
1485,6860,19632,302301
9449,3781,13655,314539
15801,17503,16176,338937
18938,12117,4048,307273
16316,16329,11583,321290
7158,17534,11861,313700
13866,2552,7924,300798
19625,3150,9847,316125
11727,5841,2564,291609
15790,10043,19258,359148
12688,2123,19917,362266
10580,2941,8966,297183
18714,7561,10798,318829
2137,13634,19466,317278
10735,8327,4467,294781
10149,9253,6747,298013
14665,17171,15094,333806
11104,8569,12679,316960
5092,8293,6118,279161
4615,19629,5767,298301
16974,10053,17731,350360
1828,8200,1630,247655
14493,5791,3389,296787
4968,15529,5098,291506
10254,6629,14189,321041
10161,15838,12488,319651
16105,17338,15606,336379
12954,7867,9484,308043
17750,4773,10173,315243
9899,16293,10223,313031
1702,4069,4917,237565
11104,19801,2093,313629
6582,3848,3047,273488
17382,3222,16669,347191
4941,4054,9570,279785
9569,8644,2402,291756
3573,10659,13279,294745
4665,14337,16836,322340
17538,16846,5468,310955
5727,12203,17762,330661
1958,15549,2808,268233
16724,18510,9325,316472
9932,3441,7353,291324
12390,8537,5131,298688
6134,2944,14652,307326
4140,9465,19413,331358
19772,5324,2988,302430
12146,9742,14417,327090
13060,2186,2907,289107
12367,14063,16343,337946
7654,16251,13868,320561
5760,4297,15022,308883
6776,3437,5883,277546
3885,2770,6638,262184
12033,19685,19084,352533
11357,3811,15676,330435
6530,19670,15814,328630
16416,9732,12071,321824
13021,7259,11206,313565
18847,4585,11069,319896
17798,9632,9734,314962
12322,18675,14780,331705
6733,9553,5631,287662
18348,8489,7179,308653
3774,12491,19929,334405
13408,1809,12419,316739
13777,4759,10009,308945
1362,17597,5706,263396
17821,19185,19824,357605
14239,16379,6178,310271
15427,1780,4462,295127
4522,3814,5434,266081
5083,18774,16269,325211
7499,16882,7547,304342
19028,19808,8189,314564
7638,1703,5644,277474
11163,17153,5354,308501
17922,19862,4301,312989
9503,16768,1493,307122
4924,9071,9979,288696
9348,14387,12578,317574
19814,2603,8903,313040
16560,18971,8591,315432
16192,17107,4616,310784
14000,16606,7928,312409
15525,5439,4152,298598
13448,10907,10095,312652
10991,14961,10605,314241
19830,16841,15252,334844
9128,16026,6205,304808
17277,13825,15810,338467
19975,11309,1177,307380
15523,2247,14541,331806
2548,3555,1145,244936
13881,1923,9701,306234
2155,11481,16350,296958
7962,11931,10739,306049
18633,7559,13123,328125
2919,7884,18548,314932
12674,10355,8826,307830
5934,4310,1523,270863
15633,9407,12769,323856
5427,12816,5843,288836
8980,8148,1741,289427
10401,19060,19010,350918
8896,10501,2662,293613
8318,11639,16485,331215
2390,12041,12873,284289
14421,11980,15339,334667
15078,19620,16833,341580
13122,18250,6118,311614
1562,11441,14428,278303
17258,11738,19984,364082
9416,13865,19390,351384
6416,1766,15347,311587
18893,19606,19062,352501
13953,3455,19965,364700
5712,3536,2234,268336
7383,13566,19124,345122
19129,7816,14777,336417
9326,7766,2936,289746
2273,6297,18695,307483
15267,11099,15158,334514
2543,3764,12276,271117
16258,10339,4700,304686
10358,17737,10952,316798
16621,2103,5412,299116
6326,18459,5526,302209
11471,10651,15108,329751
11117,2701,18577,348620
4876,3159,12745,291189
18681,11306,10003,316587
4385,9847,2816,275644
19604,7543,6628,308162
6268,15787,4080,296680
13492,7644,14980,331373
17129,9333,4615,304450
10751,1248,15995,330086
19707,3932,7708,309590
6938,14853,6227,298133
18743,13324,4514,308246
12830,6992,17730,346295
16051,3239,4857,298198
19950,18525,3393,311694
9084,16564,15876,332215
4415,4051,5381,265788
10485,13747,6539,304150
15590,16692,1701,311454
6326,8994,3641,283271
4235,8556,12983,295212
3943,11817,11061,290610
7960,1223,11358,296602
2553,3025,3114,244680
4684,7981,7635,279357
4435,6588,1106,268306
17207,7907,14465,333147
17057,5817,18483,357461
9425,10384,6594,297777
10693,6590,4160,291793
3485,1206,6558,255724
15839,10694,12532,323289
9434,1451,6482,285039
12035,2792,2216,287276
4259,8081,4467,271916
12815,9392,18337,349948
7328,18480,10331,311165
12911,13243,3018,304460
19119,16301,9137,315322
9520,11880,11845,313183
8834,10543,2240,293578
17565,14191,1562,309157
15603,3625,12115,319868
19018,9157,15098,337445
7011,10389,11289,303330
18559,7732,4720,304543
7350,14032,15957,327420
1515,11702,1780,251608
5536,8485,3726,278973
5694,6913,16160,317305
11580,10651,18185,347130
19756,17097,4221,310627
5608,11251,14794,313559
18365,19421,8250,314762
17100,4034,18959,361879
9263,12652,1658,298732
8380,16402,9282,308505
6655,6386,16952,325680
18880,15949,4662,310052
17963,7492,3363,302672
4598,11907,18229,328031
3668,10741,9879,283443
15659,1392,5324,296718
3368,18007,17499,321381
15971,10265,1728,303610
5574,18027,18309,336877
12085,18484,11128,319333
2594,11594,10977,279005
3406,14913,19044,327822
17861,5081,4191,301292
5872,6380,1597,275253
7177,14087,4934,296458
6307,5749,4574,277688
4383,5327,2831,265335
18572,14659,15638,337650
7540,2390,7144,281737
19588,12726,5273,308610
8773,17512,2983,306141
8194,5556,9404,294942
14907,9670,15101,333917
2575,18522,15440,305515
1782,4693,12865,264901
15078,5684,2688,297058
18205,10196,14652,334336
5594,4634,12433,295377
6068,6694,14517,309804
11892,2434,18569,350387
5979,6843,9151,287833
17574,9598,11465,320466
4633,6118,3872,269407
12153,2019,6877,293863
10677,5886,12532,313712
8775,1829,16834,329899
19300,5977,3585,302888
15884,2348,15974,340819
18293,8984,12596,325391
17672,15653,17220,345070
7923,4770,14275,313832
15546,2817,9743,309889
11538,14571,13613,324760
10113,12691,13404,320838
18720,8927,9876,315910
5051,9423,4919,279563
4732,7659,9617,284377
5920,11998,8897,294660
14534,7563,5355,300939
18053,10471,9013,313381
17611,16394,15955,338384
3608,1911,19571,323665
5591,7316,4142,277155
5576,10517,9871,293609
2966,4666,9594,266425
5523,4696,16368,315920
1085,14297,5591,249308
11606,11056,13502,322677
1551,3317,13946,264138
17715,8381,19268,361893
17676,5902,2587,300514
9945,19376,10478,316688
12755,1873,7767,297480
2705,2909,3792,246828
2168,6900,15103,284879
6474,11951,1292,290202
5728,6044,13491,302541
9050,19778,13227,323610
3689,12759,13846,300669
15051,15690,3089,309122
15892,9208,15706,338101
18751,3272,13430,330559
5765,10576,7500,288765
1855,17504,3371,271436
10254,2744,8193,293687
8014,14303,9593,305829
15131,7248,5330,301360
2048,17584,4286,274056
9601,16044,14713,327535
7445,17723,11190,312674
11385,5993,18442,348356
11435,6578,10333,307132
2496,9048,13255,282734
3908,19160,19916,339316
10729,9855,7325,300955
19264,11898,1885,307251
18206,19750,16239,338277
18443,5709,3124,301469
11302,17251,9483,313894
17293,18065,17668,346241
13359,9651,2118,299941
2849,9913,7646,269699
8091,9745,5450,291965
16254,18299,8014,314246
14979,17793,9886,317145
1402,2428,7992,235177
18857,18228,9520,316453
3069,5693,11217,275013
5546,2388,19106,332939
18698,14153,17656,348469
18887,2237,10663,318257
16583,7870,7182,306737
7421,6733,5281,284616
17302,8845,5101,304710
14690,3479,12578,320469
17560,1005,12069,322400
9544,11668,16437,333664
17781,15396,14513,332200
14566,12228,12565,322707
10421,10659,2609,297027
10641,19380,7959,312966
17995,3839,15497,340656
16965,11205,11708,321099
1990,17665,5555,273745
19311,3172,7918,309500
3957,6837,15114,301685
7091,13026,2022,294052
2298,7875,10892,269188
1985,15474,10229,276279
12292,18750,14784,331726
6628,2131,3052,270194
2193,12818,18934,313893
15255,9646,15326,335426
7047,4402,9716,290547
10066,15819,8585,309230
14179,17531,15849,337004
3812,18289,15747,316096
2943,19798,19749,332118
17809,3216,9638,313053
15501,17606,10485,318543
11835,18638,4180,310954
1905,2319,9702,249688
16351,1769,16594,345642
15533,14026,15943,338317
6578,17979,14257,320904
9090,16628,19208,350097
12013,3647,16131,334561
18286,19256,17530,344707
10513,16110,12479,320276
5367,8201,3780,277629
19627,10453,8602,313219
13818,1958,2052,289650
6023,1378,1594,264722
1430,18628,1704,268619
10363,11693,8344,304539
9411,10516,19519,351842
18344,17953,2154,312528
16622,12727,10759,318068
1279,19411,14985,286218
4636,18718,13506,311956
3830,13602,13506,301256
11003,11557,13687,322811
18243,12475,9481,315193
5953,16847,7082,299391
10522,3764,8513,296488
4264,11153,17389,320553
18581,16277,1349,311681
3143,3461,6309,256690
10693,11754,8409,305302
7761,17810,18859,345888
10497,11343,14070,323550
9865,6230,3009,288412
10608,19052,1153,313125
9267,3071,17542,336580
11055,9906,12916,318686
11868,5707,14503,325616
9765,7299,17969,341857
5450,7400,9049,285978
5831,7882,3715,279040
7859,1421,6739,280383
17392,16222,8234,313598
15156,17197,14002,329473
6996,11155,7674,294501
